Year,Production (Metric Tons),avg_yield,Extent (Hectares),Number of Farmers,datetime,tempmax,tempmin,temp,humidity,rainfall,sunshine_hours
2004,15847.0,12.76,1240.0,4045,1/31/2004,-2.032804715,-2.363972743,-2.226068786,0.104442808,47.3,11.73967741935484
2004,15847.0,12.76,1240.0,4045,2/29/2004,-1.891224751,-2.566403733,-2.241318291,-1.372923081,26.5,11.887931034482758
2004,15847.0,12.76,1240.0,4045,3/31/2004,-1.63267763,-1.85264041,-1.772517936,-3.031054483,40.45,12.084516129032258
2004,15847.0,12.76,1240.0,4045,4/30/2004,-1.751088598,-1.800657611,-1.831514121,0.3442902560496033,140.1,12.291333333333334
2004,15847.0,12.76,1240.0,4045,5/31/2004,-2.403719831,-1.460778249,-2.049740285,0.9804045920839208,149.70000000000002,12.464193548387096
2004,15847.0,12.76,1240.0,4045,6/30/2004,-2.575634824,-1.69256808,-2.229054741,1.3536226881585074,141.4,12.55
2004,15847.0,12.76,1240.0,4045,7/31/2004,-2.683539733,-1.733701218,-2.316590369,1.6020757367631664,66.5,12.506774193548386
2004,15847.0,12.76,1240.0,4045,8/31/2004,-2.293406216,-1.772462651,-2.147805334,0.6660147668381297,63.7,12.356129032258066
2004,15847.0,12.76,1240.0,4045,9/30/2004,-2.38816574,-1.892286808,-2.275824226,1.0691532101046604,101.1,12.159
2004,15847.0,12.76,1240.0,4045,10/31/2004,-2.237288489,-1.819188762,-2.133661336,1.365879475453122,229.4,11.95516129032258
2004,15847.0,12.76,1240.0,4045,11/30/2004,-2.3587744,-1.775967109,-2.180336528,1.6875070520714774,214.1,11.782666666666668
2004,15847.0,12.76,1240.0,4045,12/31/2004,-2.219607561,-2.127156315,-2.253413848,0.8224018947096208,225.4,11.696451612903225
2005,19706.0,14.28,1380.0,3394,1/31/2005,-2.108140842,-2.420256468,-2.336391966,-0.227072054,36.5,11.741290322580646
2005,19706.0,14.28,1380.0,3394,2/28/2005,-1.660928678,-2.121163843,-1.899510827,-3.331204217,26.6,11.88892857142857
2005,19706.0,14.28,1380.0,3394,3/31/2005,-1.434728112,-2.591231557,-1.980906165,-1.892401098,48.5,12.08290322580645
2005,19706.0,14.28,1380.0,3394,4/30/2005,-1.642261206,-1.718904616,-1.701923674,0.040789369,96.0,12.289
2005,19706.0,14.28,1380.0,3394,5/31/2005,-1.570025647,-1.701311527,-1.647107826,0.1800514603944799,103.4,12.462903225806452
2005,19706.0,14.28,1380.0,3394,6/30/2005,-2.361951842,-1.516991177,-2.041976802,1.1419400014376868,104.6,12.55
2005,19706.0,14.28,1380.0,3394,7/31/2005,-2.27726276,-1.579186463,-2.041253887,1.1403459728615848,131.595,12.507096774193547
2005,19706.0,14.28,1380.0,3394,8/31/2005,-2.131971658,-1.882906187,-2.082742946,0.5147974613756088,45.1,12.35741935483871
2005,19706.0,14.28,1380.0,3394,9/30/2005,-2.28251579,-1.852782005,-2.168644157,0.7159035530847357,141.0,12.16
2005,19706.0,14.28,1380.0,3394,10/31/2005,-2.252663209,-1.865914874,-2.161006398,1.3710492978620952,115.9,11.95774193548387
2005,19706.0,14.28,1380.0,3394,11/30/2005,-2.269011661,-1.883507963,-2.158900514,1.4330871667697958,214.5,11.783666666666669
2005,19706.0,14.28,1380.0,3394,12/31/2005,-2.229601129,-2.369282528,-2.320362102,0.7254677245413393,68.3,11.696129032258064
2006,36377.0,11.4,3191.0,6917,1/31/2006,-2.527101958,-2.353353172,-2.490090071,-0.595421901,227.8,11.740967741935483
2006,36377.0,11.4,3191.0,6917,2/28/2006,-1.986049093,-2.417449867,-2.186600298,-0.23681163,32.8,11.8875
2006,36377.0,11.4,3191.0,6917,3/31/2006,-1.701479502,-2.456363009,-2.018623491,-1.184135428,146.4,12.081612903225803
2006,36377.0,11.4,3191.0,6917,4/30/2006,-1.553292827,-2.231369703,-1.836385942,-0.61028514,145.29999999999998,12.288333333333332
2006,36377.0,11.4,3191.0,6917,5/31/2006,-2.054329322,-1.726798497,-1.960161635,1.1293601002425115,191.6,12.461935483870969
2006,36377.0,11.4,3191.0,6917,6/30/2006,-2.098224148,-1.611363762,-1.921155633,0.4708324299726201,112.1,12.55
2006,36377.0,11.4,3191.0,6917,7/31/2006,-2.465987447,-1.80910017,-2.211924789,1.1264520751374658,174.35,12.508387096774191
2006,36377.0,11.4,3191.0,6917,8/31/2006,-2.201926633,-1.797949621,-2.075199481,0.4139859244005968,105.2,12.359032258064516
2006,36377.0,11.4,3191.0,6917,9/30/2006,-2.232471077,-1.81108249,-2.146233779,1.1112226399576932,124.7,12.162
2006,36377.0,11.4,3191.0,6917,10/31/2006,-2.035879659,-1.905207286,-2.054454951,1.040180663687694,296.5,11.958387096774192
2006,36377.0,11.4,3191.0,6917,11/30/2006,-2.058506121,-1.927402189,-2.075105187,1.6314144789340983,460.3,11.784333333333333
2006,36377.0,11.4,3191.0,6917,12/31/2006,-2.405641671,-2.219015602,-2.356665029,0.5975146199192105,202.5,11.696451612903225
2007,44800.0,13.65,3279.0,5216,1/31/2007,-2.347986472,-2.637957669,-2.476889007,-0.25485985,202.2,11.740645161290322
2007,44800.0,13.65,3279.0,5216,2/28/2007,-1.926472054,-2.955937959,-2.331710976,-1.483154263,21.7,11.886071428571428
2007,44800.0,13.65,3279.0,5216,3/31/2007,-1.572331855,-2.406451026,-1.882841116,-4.138688935,26.7,12.079354838709676
2007,44800.0,13.65,3279.0,5216,4/30/2007,-1.685156674,-2.036040398,-1.855873228,0.7766705073168978,190.7,12.286
2007,44800.0,13.65,3279.0,5216,5/31/2007,-1.63844315,-1.771931672,-1.717827813,0.1193060470890219,82.85000000000001,12.46032258064516
2007,44800.0,13.65,3279.0,5216,6/30/2007,-1.182326461,-0.619354258,-0.962381196,0.6297613871951913,180.785,12.549666666666669
2007,44800.0,13.65,3279.0,5216,7/31/2007,-0.13248934,0.8112789177135352,0.3735979354437642,-0.155986996,102.722,12.509032258064517
2007,44800.0,13.65,3279.0,5216,8/31/2007,-0.068684252,0.6073831588996981,0.3641686038457905,-0.465530113,33.011,12.360322580645162
2007,44800.0,13.65,3279.0,5216,9/30/2007,-0.075782248,0.6952778063189267,0.3208565407057628,0.084862105,167.97299999999998,12.163333333333332
2007,44800.0,13.65,3279.0,5216,10/31/2007,-0.212437883,0.4438417690177647,0.1105195838602882,0.7131893963200264,272.396,11.96
2007,44800.0,13.65,3279.0,5216,11/30/2007,0.052109797,0.2179281001375722,0.1376760588624527,-0.019977585,176.26,11.785666666666666
2007,44800.0,13.65,3279.0,5216,12/31/2007,-0.33774185,0.1008296330965696,-0.073352382,0.3151130708289486,212.707,11.696774193548386
2008,31614.0,17.66,1790.0,3883,1/31/2008,-0.363110138,-0.071207413,-0.109183842,0.094749391,76.952,11.73967741935484
2008,31614.0,17.66,1790.0,3883,2/29/2008,-0.06857822,0.1399023296939775,0.1152992795323647,-0.655186831,79.863,11.887931034482758
2008,31614.0,17.66,1790.0,3883,3/31/2008,-0.048697116,0.3896819580828403,0.1963265014018521,0.4669766040925908,381.825,12.08483870967742
2008,31614.0,17.66,1790.0,3883,4/30/2008,0.1585541072627593,0.5888343086187174,0.3140359908498949,0.7826804258673314,301.367,12.291666666666666
2008,31614.0,17.66,1790.0,3883,5/31/2008,0.1565553936807827,0.860659922,0.5947157614162564,-0.236119244,16.958,12.464193548387096
2008,31614.0,17.66,1790.0,3883,6/30/2008,-0.027326256,0.7907477475551974,0.446549531,-0.386582617,47.282,12.550333333333333
2008,31614.0,17.66,1790.0,3883,7/31/2008,-0.107121052,0.9121648400432992,0.4396032566295829,-0.409954522,155.839,12.506774193548386
2008,31614.0,17.66,1790.0,3883,8/31/2008,-0.060996892,0.7241984373867928,0.3594539380468036,-0.429341356,62.725,12.356129032258066
2008,31614.0,17.66,1790.0,3883,9/30/2008,0.052109797,0.5142141246639299,0.3666516611665901,-0.924136442,49.087,12.159
2008,31614.0,17.66,1790.0,3883,10/31/2008,-0.046390908,0.488443966,0.1916118356028652,0.4262642526219126,247.64,11.95483870967742
2008,31614.0,17.66,1790.0,3883,11/30/2008,-0.235448714,0.3671684680471451,0.075316746,0.4200820066578495,176.183,11.782666666666668
2008,31614.0,17.66,1790.0,3883,12/31/2008,-0.27624297,0.367380859,0.028484399,-0.081670799,68.67,11.696451612903225
2009,51789.0,18.25,2837.0,4492,1/31/2009,-0.166313723,-0.165721593,0.007739869,-1.405791564,12.035,11.741612903225809
2009,51789.0,18.25,2837.0,4492,2/28/2009,-0.043837607,0.021031144,0.1821488278206125,-2.252996211,11.364,11.889285714285714
2009,51789.0,18.25,2837.0,4492,3/31/2009,0.2088294412094045,0.6764103689147998,0.4471467219079615,-0.851651224,221.614,12.083225806451612
2009,51789.0,18.25,2837.0,4492,4/30/2009,0.3738258098548931,0.7677032789809249,0.5936785349404792,0.134276991,130.65200000000002,12.289
2009,51789.0,18.25,2837.0,4492,5/31/2009,0.2849343045231339,0.9992453203700428,0.7064533408522482,-0.270369317,184.238,12.462903225806452
2009,51789.0,18.25,2837.0,4492,6/30/2009,-0.109939751,0.9399881154647712,0.4299853383996487,0.005731511,82.13550000000001,12.55
2009,51789.0,18.25,2837.0,4492,7/31/2009,-0.032553661,0.9100409258889892,0.5027797783360098,-0.897856512,53.0,12.507096774193547
2009,51789.0,18.25,2837.0,4492,8/31/2009,-0.026403773,0.7093310383066166,0.3867989996809273,-0.180543653,118.831,12.357096774193549
2009,51789.0,18.25,2837.0,4492,9/30/2009,0.088650381,0.5767633965083836,0.3666516611665901,-0.259706558,120.505,12.16
2009,51789.0,18.25,2837.0,4492,10/31/2009,0.4063945914278736,0.5011874511841582,0.4358315239903936,-0.265199495,247.003,11.956451612903225
2009,51789.0,18.25,2837.0,4492,11/30/2009,-0.142508532,0.4604436979906276,0.095778395,1.0711565162881391,407.671,11.783666666666669
2009,51789.0,18.25,2837.0,4492,12/31/2009,-0.478420537,0.4656118890994517,-0.052136386,1.258928774367449,186.6205,11.696129032258064
2010,26931.0,14.26,1889.0,3653,1/31/2010,-0.001035485,-0.644664235,-0.393949657,0.6459817050033526,112.717,11.740967741935483
2010,26931.0,14.26,1889.0,3653,2/28/2010,0.6225741346213446,-0.659721269,-0.129995724,-0.263283891,23.366,11.8875
2010,26931.0,14.26,1889.0,3653,3/31/2010,1.053670297591104,-0.292094485,0.2349867609535449,-0.89850274,109.749,12.081612903225803
2010,26931.0,14.26,1889.0,3653,4/30/2010,0.8099297387223533,0.4933643673824456,0.4601906306184929,0.3092323978387392,305.25600000000003,12.288333333333332
2010,26931.0,14.26,1889.0,3653,5/31/2010,0.4725058868317183,0.735879965,0.3839702002015356,1.1997989305647974,163.606,12.461935483870969
2010,26931.0,14.26,1889.0,3653,6/30/2010,0.228457834,0.463735765,0.1357273303322055,0.979004432,189.904,12.55
2010,26931.0,14.26,1889.0,3653,7/31/2010,0.073531906,0.2558753663612593,-0.043178521,0.9510012271328768,236.377,12.508064516129032
2010,26931.0,14.26,1889.0,3653,8/31/2010,0.030482691,0.1942818558862445,-0.062980118,0.9380766711104368,175.444,12.358387096774194
2010,26931.0,14.26,1889.0,3653,9/30/2010,0.1108924756925444,0.1915915646241176,-0.062068615,0.9930275751325014,119.042,12.161666666666669
2010,26931.0,14.26,1889.0,3653,10/31/2010,0.08813789,0.017996981,-0.130871305,1.050520308505646,301.063,11.958064516129031
2010,26931.0,14.26,1889.0,3653,11/30/2010,0.006831247,-0.026782209,-0.212120712,1.3436061572411189,522.244,11.784
2010,26931.0,14.26,1889.0,3653,12/31/2010,-0.379253593,-0.241120546,-0.44581098,1.5752572830166072,483.961,11.696129032258064
2011,34573.0,21.0,1611.0,3426,1/31/2011,-0.37233497,-0.568203326,-0.508987502,1.4660447846270128,341.503,11.740967741935483
2011,34573.0,21.0,1611.0,3426,2/28/2011,0.019994935,-0.294066691,-0.260490938,0.9451390177941288,305.253,11.886071428571428
2011,34573.0,21.0,1611.0,3426,3/31/2011,0.6147220455492931,-0.14129658,0.008682803,0.004277498,91.318,12.08
2011,34573.0,21.0,1611.0,3426,4/30/2011,0.51045582,0.145502627,0.073368017,0.6304291559230194,276.003,12.286
2011,34573.0,21.0,1611.0,3426,5/31/2011,0.5578355820622634,0.5033113653384682,0.2613888894278732,0.9988220844158948,99.797,12.46
2011,34573.0,21.0,1611.0,3426,6/30/2011,0.1236022441112685,0.3880182253286293,0.073368017,0.8755002790351378,69.143,12.549666666666669
2011,34573.0,21.0,1611.0,3426,7/31/2011,0.1665489615906665,0.2176449115836644,-0.020548125,0.6479203884067165,57.675,12.509032258064517
2011,34573.0,21.0,1611.0,3426,8/31/2011,0.1327245778956752,0.3110971343733393,0.009625736,0.5826513804934067,52.429,12.360322580645162
2011,34573.0,21.0,1611.0,3426,9/30/2011,0.1919172493619093,0.2343884348334801,-0.005555488,0.6704952795925763,153.80100000000002,12.163333333333332
2011,34573.0,21.0,1611.0,3426,10/31/2011,0.4279191992337759,-0.045720444,0.055829461,0.6375807435887645,275.687,11.959677419354838
2011,34573.0,21.0,1611.0,3426,11/30/2011,0.1776187598908454,-0.089331481,-0.102991915,0.8160688622586265,182.895,11.785666666666666
