Year,Production (Metric Tons),Average Yield (Metric Tons/Hectare),Extent (Hectares),Number of Farmers,datetime,tempmax,tempmin,temp,humidity,rainfall,sunshine_hours
2004,15847.0,12.76,1240.0,4045,2004-05-31,-2.403719831232094,-1.460778248860454,-2.0497402852355697,0.9804045920839208,149.70000000000002,12.464193548387096
2004,15847.0,12.76,1240.0,4045,2004-06-30,-2.575634823815194,-1.6925680802342402,-2.2290547411237105,1.3536226881585074,141.4,12.55
2004,15847.0,12.76,1240.0,4045,2004-07-31,-2.683539732708835,-1.733701217689393,-2.316590369458236,1.6020757367631664,66.5,12.506774193548386
2004,15847.0,12.76,1240.0,4045,2004-08-31,-2.29340621622684,-1.7724626510055657,-2.1478053338545005,0.6660147668381297,63.7,12.356129032258066
2005,19706.0,14.28,1380.0,3394,2005-05-31,-1.5700256467498797,-1.7013115268361532,-1.6471078260020768,0.1800514603944799,103.4,12.462903225806452
2005,19706.0,14.28,1380.0,3394,2005-06-30,-2.361951842275401,-1.5169911768112132,-2.041976802219905,1.1419400014376868,104.6,12.55
2005,19706.0,14.28,1380.0,3394,2005-07-31,-2.277262760372412,-1.5791864629632817,-2.041253886797393,1.1403459728615848,131.595,12.507096774193547
2005,19706.0,14.28,1380.0,3394,2005-08-31,-2.1319716576825662,-1.8829061870297272,-2.082742945828479,0.5147974613756088,45.1,12.35741935483871
2006,36377.0,11.4,3191.0,6917,2006-05-31,-2.054329322382701,-1.726798496687883,-1.9601616350548168,1.1293601002425115,191.6,12.461935483870969
2006,36377.0,11.4,3191.0,6917,2006-06-30,-2.098224147586882,-1.6113637624010904,-1.9211556333445297,0.4708324299726201,112.1,12.55
2006,36377.0,11.4,3191.0,6917,2006-07-31,-2.4659874466706,-1.809100170167427,-2.211924788720724,1.1264520751374658,174.35,12.508387096774191
2006,36377.0,11.4,3191.0,6917,2006-08-31,-2.201926633051752,-1.797949620857295,-2.0751994805501,0.4139859244005968,105.2,12.359032258064516
2007,44800.0,13.65,3279.0,5216,2007-05-31,-1.6384431501329286,-1.7719316724669878,-1.7178278129868825,0.1193060470890219,82.85000000000001,12.46032258064516
2007,44800.0,13.65,3279.0,5216,2007-06-30,-1.1823264609125992,-0.6193542580609877,-0.9623811964625276,0.6297613871951913,180.785,12.549666666666669
2007,44800.0,13.65,3279.0,5216,2007-07-31,-0.1324893397127738,0.8112789177135352,0.3735979354437642,-0.1559869961888944,102.722,12.509032258064517
2007,44800.0,13.65,3279.0,5216,2007-08-31,-0.0686842522881327,0.6073831588996981,0.3641686038457905,-0.4655301129262759,33.011,12.360322580645162
2008,31614.0,17.66,1790.0,3883,2008-05-31,0.1565553936807827,0.860659921801261,0.5947157614162564,-0.2361192435280081,16.958,12.464193548387096
